read, READ
x, IDENTIFIER
;, SEMICOLON
if, IF
(, OPENBRACKET
x, IDENTIFIER
<, LESSTHAN
0, NUMBER
), CLOSEDBRACKET
then, THEN
write, WRITE
x, IDENTIFIER
else, ELSE
write, WRITE
positive or 0, IDENTIFIER
end, END
7, NUMBER
amada, IDENTIFIER
:=, ASSIGN
653, NUMBER
y, IDENTIFIER
:=, ASSIGN
5, NUMBER
z, IDENTIFIER
:=, ASSIGN
3, NUMBER
repeat, REPEAT
y, IDENTIFIER
:=, ASSIGN
y, IDENTIFIER
+, PLUS
5, NUMBER
if, IF
(, OPENBRACKET
z, IDENTIFIER
=, EQUAL
3, NUMBER
), CLOSEDBRACKET
then, THEN
z, IDENTIFIER
:=, ASSIGN
z, IDENTIFIER
-, MINUS
5, NUMBER
*, MULT
4, NUMBER
/, DIV
4, NUMBER
until, UNTIL
z, IDENTIFIER
=, EQUAL
57, NUMBER
;, SEMICOLON
